Date,BTC-USD_open,BTC-USD_high,BTC-USD_low,BTC-USD_close,BTC-USD_volume,BTC_REWARD,COST_TO_MINE,ETH-USD_open,ETH-USD_high,ETH-USD_low,ETH-USD_close,ETH-USD_volume
2018-03-26,8498.469727,8530.080078,7921.430176,8209.400391,5921039872.0,12.5,4377.7238,524.2869873,526.3790283,470.4400024,489.9509888,1638880000.0
2018-03-27,8200.0,8232.780273,7797.279785,7833.040039,5378250240.0,12.5,4439.2331,489.5899963,491.4590149,449.9710083,450.1159973,1617939968.0
2018-03-28,7836.830078,8122.890137,7809.169922,7954.47998,4935289856.0,12.5,4448.5824,450.2909851,466.2109985,444.8609924,446.2789917,1514179968.0
2018-03-29,7979.069824,7994.330078,7081.379883,7165.700195,6361229824.0,12.5,4356.7778,448.0750122,450.8129883,385.8129883,385.9679871,1970230016.0
2018-03-30,7171.450195,7276.660156,6683.930176,6890.52002,6289509888.0,12.5,4427.7683,385.9049988,409.9289856,368.6329956,394.644989,1878130048.0
2018-03-31,6892.47998,7207.850098,6863.52002,6973.529785,4553269760.0,12.5,4387.4478,395.0039978,418.4679871,392.9530029,396.4570007,1323920000.0
2018-04-01,7003.060059,7060.950195,6526.870117,6844.22998,4532100096.0,12.5,4281.3663,397.2539978,400.5280151,363.8049927,379.6069946,1256930048.0
2018-04-02,6844.859863,7135.470215,6816.580078,7083.799805,4333440000.0,12.5,4381.7331,379.6990051,395.17099,377.5929871,386.4249878,1102259968.0
2018-04-03,7102.259766,7530.939941,7072.490234,7456.109863,5499700224.0,12.5,4264.9245,387.3120117,418.9679871,383.5320129,416.8930054,1363399936.0
2018-04-04,7456.410156,7469.879883,6803.879883,6853.839844,4936000000.0,12.5,4234.9261,416.4849854,417.4719849,375.3099976,380.5429993,1287730048.0
2018-04-05,6848.649902,6933.819824,6644.799805,6811.470215,5639320064.0,12.5,4167.7024,379.946991,387.7160034,369.8160095,383.2319946,1210680064.0
2018-04-06,6815.959961,6857.490234,6575.0,6636.319824,3766810112.0,12.5,4106.783,382.7309875,385.1950073,366.9110107,370.2850037,967105984.0
2018-04-07,6630.509766,7050.540039,6630.509766,6911.089844,3976610048.0,12.5,4065.6132,370.3800049,393.0589905,369.9360046,385.3139954,951475008.0
2018-04-08,6919.97998,7111.560059,6919.97998,7023.52002,3652499968.0,12.5,4111.7234,385.7430115,402.5899963,385.6019897,400.5079956,948488000.0
2018-04-09,7044.319824,7178.109863,6661.990234,6770.72998,4894060032.0,12.5,3923.6052,400.8569946,429.2510071,390.6099854,398.526001,1478390016.0
2018-04-10,6795.439941,6872.410156,6704.149902,6834.759766,4272750080.0,12.5,3926.7528,399.4110107,415.8880005,393.8789978,414.2430115,1196000000.0
2018-04-11,6843.470215,6968.319824,6817.589844,6968.319824,4641889792.0,12.5,3959.2013,415.0239868,430.5400085,412.4710083,430.5400085,1439040000.0
2018-04-12,6955.379883,7899.22998,6806.509766,7889.25,8906250240.0,12.5,3958.8905,430.1610107,493.0580139,417.4129944,492.9410095,2519360000.0
2018-04-13,7901.089844,8183.959961,7758.930176,7895.959961,7764460032.0,12.5,3920.5215,493.1600037,526.4699707,482.6589966,492.7349854,2419249920.0
2018-04-14,7874.669922,8140.709961,7846.0,7986.240234,5191430144.0,12.5,3944.5897,492.5799866,512.0239868,488.2789917,501.4779968,1519079936.0
2018-04-15,7999.330078,8338.419922,7999.330078,8329.110352,5244480000.0,12.5,3892.4096,502.8800049,531.7020264,502.8800049,531.7020264,1726089984.0
2018-04-16,8337.570313,8371.150391,7925.72998,8058.669922,5631309824.0,12.5,4045.7373,532.0739746,534.1970215,500.25,511.1470032,1758979968.0
2018-04-17,8071.660156,8285.959961,7881.720215,7902.089844,6900879872.0,12.5,4047.1123,511.144989,518.0310059,502.5639954,502.8940125,1760359936.0
2018-04-18,7944.430176,8197.799805,7886.009766,8163.419922,6529909760.0,12.5,4086.8349,503.3089905,525.09198,503.0450134,524.7890015,1762940032.0
2018-04-19,8159.27002,8298.69043,8138.779785,8294.30957,7063209984.0,12.5,4118.1472,524.0380249,567.8889771,523.2620239,567.8889771,2256869888.0
2018-04-20,8286.879883,8880.230469,8244.540039,8845.830078,8438110208.0,12.5,4145.7184,567.9890137,618.7150269,560.28302,615.7180176,2849469952.0
2018-04-21,8848.790039,8997.570313,8652.150391,8895.580078,7548550144.0,12.5,4100.9787,616.0040283,621.8880005,578.5499878,605.3950195,2612460032.0
2018-04-22,8925.05957,9001.639648,8779.610352,8802.459961,6629899776.0,12.5,4231.5897,606.1190186,640.7670288,593.8690186,621.8599854,2426269952.0
2018-04-23,8794.389648,8958.549805,8788.80957,8930.879883,6925190144.0,12.5,4199.9328,621.1989746,646.7000122,621.0349731,642.5479736,2386830080.0
